aux_beta1_om_mult,aux_beta2_om_mult,aux_cooldown_frac,aux_lr_mult,aux_wd_peak,base_lr_scale,batch,batch_size,best_val_loss,case_id,cluster_name,code_package_id,container_image,coord,coord_value,data_id,failure_kind,gpuv,hardware_family,hidden_cooldown_frac,job_name,job_run_id,last_step,last_val_loss,last_val_step,log_source,matrix_beta1_om_mult,matrix_beta2_om_mult,matrix_lr_mult,matrix_wd_peak,num_val_points,precond_lr_mult,queue_name,recipe,runtime_cuda_driver,runtime_cuda_toolkit,runtime_device_type,runtime_host_ipv6,runtime_host_primary,runtime_node_spec,runtime_node_vendor,runtime_rdma_bigpod,runtime_rdma_minipod,runtime_rdma_switch,seed,shampoo_beta_om_mult,stamp,status,total_steps,train_steps,trial_id,wd_warmup_frac,wrapper_case_id
1,1,0.5,1,0,1,1m,1048576,3.30441,0000_psgdh_core_1m_center_1,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,center,center,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-1m-20260828_0828:0000_psgdh_core_1m_center_1,3ab7d3a15e8d07c6,1625,3.30441,1625,run_dir+merlin_meta,1,1,1,0,14,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e3f4:dd52:7464:b0ba,26.138.60.170,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,05386bf549f651b103b98e6326578044,e7bd8be09a74fc3b441eb43aceee1f74,1,1,pretraining_psgdh_pcd_1m_r0_20260828_0828,DONE,1625,1625,405263676,0,packed_manifest
1,1,0.5,1,0,1,1m,1048576,3.34926,0001_psgdh_core_1m_matrix_lr_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,0.5,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-1m-20260828_0828:0001_psgdh_core_1m_matrix_lr_0p5,3ab7d3a15e8d07c6,1625,3.34926,1625,run_dir+merlin_meta,1,1,0.5,0,14,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e3f4:dd52:7464:b0ba,26.138.60.170,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,05386bf549f651b103b98e6326578044,e7bd8be09a74fc3b441eb43aceee1f74,1,1,pretraining_psgdh_pcd_1m_r0_20260828_0828,DONE,1625,1625,405263676,0,packed_manifest
1,1,0.5,1,0,1,1m,1048576,3.32009,0002_psgdh_core_1m_matrix_lr_0p707106781187,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,0.707106781187,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-1m-20260828_0828:0002_psgdh_core_1m_matrix_lr_0p707106781187,3ab7d3a15e8d07c6,1625,3.32009,1625,run_dir+merlin_meta,1,1,0.707106781187,0,14,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e3f4:dd52:7464:b0ba,26.138.60.170,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,05386bf549f651b103b98e6326578044,e7bd8be09a74fc3b441eb43aceee1f74,1,1,pretraining_psgdh_pcd_1m_r0_20260828_0828,DONE,1625,1625,405263676,0,packed_manifest
1,1,0.5,1,0,1,1m,1048576,3.31665,0003_psgdh_core_1m_matrix_lr_1p41421356237,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,1.41421356237,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-1m-20260828_0828:0003_psgdh_core_1m_matrix_lr_1p41421356237,3ab7d3a15e8d07c6,1625,3.31665,1625,run_dir+merlin_meta,1,1,1.41421356237,0,14,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e3f4:dd52:7464:b0ba,26.138.60.170,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,05386bf549f651b103b98e6326578044,e7bd8be09a74fc3b441eb43aceee1f74,1,1,pretraining_psgdh_pcd_1m_r0_20260828_0828,DONE,1625,1625,405263676,0,packed_manifest
1,1,0.5,1,0,1,1m,1048576,3.34463,0004_psgdh_core_1m_matrix_lr_2,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,2,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-1m-20260828_0828:0004_psgdh_core_1m_matrix_lr_2,3ab7d3a15e8d07c6,1625,3.34463,1625,run_dir+merlin_meta,1,1,2,0,14,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e3f4:dd52:7464:b0ba,26.138.60.170,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,05386bf549f651b103b98e6326578044,e7bd8be09a74fc3b441eb43aceee1f74,1,1,pretraining_psgdh_pcd_1m_r0_20260828_0828,DONE,1625,1625,405263676,0,packed_manifest
1,1,0.5,1,0,1,1m,1048576,3.31685,0005_psgdh_core_1m_precond_lr_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,0.5,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-1m-20260828_0828:0005_psgdh_core_1m_precond_lr_0p5,3ab7d3a15e8d07c6,1625,3.31685,1625,run_dir+merlin_meta,1,1,1,0,14,0.5,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e3f4:dd52:7464:b0ba,26.138.60.170,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,05386bf549f651b103b98e6326578044,e7bd8be09a74fc3b441eb43aceee1f74,1,1,pretraining_psgdh_pcd_1m_r0_20260828_0828,DONE,1625,1625,405263676,0,packed_manifest
1,1,0.5,1,0,1,1m,1048576,3.31032,0006_psgdh_core_1m_precond_lr_0p707106781187,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,0.707106781187,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-1m-20260828_0828:0006_psgdh_core_1m_precond_lr_0p707106781187,3ab7d3a15e8d07c6,1625,3.31032,1625,run_dir+merlin_meta,1,1,1,0,14,0.707106781187,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e3f4:dd52:7464:b0ba,26.138.60.170,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,05386bf549f651b103b98e6326578044,e7bd8be09a74fc3b441eb43aceee1f74,1,1,pretraining_psgdh_pcd_1m_r0_20260828_0828,DONE,1625,1625,405263676,0,packed_manifest
1,1,0.5,1,0,1,1m,1048576,3.30604,0007_psgdh_core_1m_precond_lr_1p41421356237,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,1.41421356237,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-1m-20260828_0828:0007_psgdh_core_1m_precond_lr_1p41421356237,3ab7d3a15e8d07c6,1625,3.30604,1625,run_dir+merlin_meta,1,1,1,0,14,1.41421356237,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e3f4:dd52:7464:b0ba,26.138.60.170,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,05386bf549f651b103b98e6326578044,e7bd8be09a74fc3b441eb43aceee1f74,1,1,pretraining_psgdh_pcd_1m_r0_20260828_0828,DONE,1625,1625,405263676,0,packed_manifest
1,1,0.5,1,0,1,1m,1048576,3.30853,0008_psgdh_core_1m_precond_lr_2,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,2,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-1m-20260828_0828:0008_psgdh_core_1m_precond_lr_2,3ab7d3a15e8d07c6,1625,3.30853,1625,run_dir+merlin_meta,1,1,1,0,14,2,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e3f4:dd52:7464:b0ba,26.138.60.170,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,05386bf549f651b103b98e6326578044,e7bd8be09a74fc3b441eb43aceee1f74,1,1,pretraining_psgdh_pcd_1m_r0_20260828_0828,DONE,1625,1625,405263676,0,packed_manifest
1,1,0.5,1,0,1,1m,1048576,3.31877,0009_psgdh_core_1m_matrix_beta1_om_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_beta1_om,0.5,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-1m-20260828_0828:0009_psgdh_core_1m_matrix_beta1_om_0p5,3ab7d3a15e8d07c6,1625,3.31877,1625,run_dir+merlin_meta,0.5,1,1,0,14,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e3f4:dd52:7464:b0ba,26.138.60.170,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,05386bf549f651b103b98e6326578044,e7bd8be09a74fc3b441eb43aceee1f74,1,1,pretraining_psgdh_pcd_1m_r0_20260828_0828,DONE,1625,1625,405263676,0,packed_manifest
